,"Eruption","Rockfall and pyroclastic flow deposits",,,,,,,,,"Deposits","Ash Volume","Total ash","pf","Explosion","Total Ash","Notes",
"Date","Day","Tar River","T.R. Fan","Lost to sea","Tuitts","Mosquito","Whites G","Farm-Trants","Belham","Fort Ghaut","White. R.",,"and deposits","volumes","columns","and Deposits",,"tot pfs"
,"days","x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3",,,,"x 106 m3","x 106 m3","x 106 m3",,,,"x 106 m3",,
30-Dec-99,0,,,,,,,,,,,,0.00,0.00,,,,0.00
15-Nov-95,0,,,,,,,,,,,,0.00,0.00,,,,0.00
21-Nov-95,6,,,,,,,,,,,,0.00,0.00,,,,0.00
25-Nov-95,10,,,,,,,,,,,,0.00,0.00,,,,0.00
30-Nov-95,15,,,,,,,,,,,,0.00,0.00,,,,0.00
15-Dec-95,30,,,,,,,,,,,,0.00,0.00,,,,0.00
31-Dec-95,46,,,,,,,,,,,,0.00,0.00,,,,0.00
21-Jan-96,67,,,,,,,,,,,,0.00,0.00,,,,0.00
5-Feb-96,82,0,,,,,,,,,,0.00,0.00,0.00,,0.00,,0.00
10-Mar-96,116,0.91,,,,,,,,,,0.14,1.05,1.05,,1.05,"Near continuous deposition in T.R. from rockfalls.",0.91
18-Apr-96,155,1.34,,,,,,,,,,0.20,1.54,0.49,,1.54,"Rate estimated at 44,400 m3 per day",1.34
30-Apr-96,167,1.48,,,,,,,,,,0.22,1.70,0.16,,1.70,,1.48
5-May-96,172,1.7,,,,,,,,,,0.26,1.96,0.25,,1.96,,1.70
11-May-96,178,1.98,,,,,,,,,,0.30,2.28,0.32,,2.28,"12 May pyroclastic flow in TR",1.98
12-May-96,179,2.55,,,,,,,,,,0.38,2.93,0.66,,2.93,,2.55
27-May-96,194,2.73,,,,,,,,,,0.41,3.14,0.21,,3.14,,2.73
30-May-96,197,2.85,,,,,,,,,,0.43,3.28,0.14,,3.28,"31 May pyroclastic flow in TR",2.85
31-May-96,198,3.02,,,,,,,,,,0.45,3.47,0.20,,3.47,,3.02
9-Jun-96,207,3.68,,,,,,,,,,0.55,4.23,0.76,,4.23,"4 - 15 June: cessation in T.R. deposition",3.68
18-Jun-96,216,3.68,,,,,,,,,,0.55,4.23,0.00,,4.23,"End of continuous deposition in T.R.",3.68
24-Jun-96,222,3.68,,,,,,,,,,0.55,4.23,0.00,,4.23,,3.68
30-Jun-96,228,3.68,,,,,,,,,,0.55,4.23,0.00,,4.23,,3.68
7-Jul-96,235,3.68,,,,,,,,,,0.55,4.23,0.00,,4.23,,3.68
17-Jul-96,245,3.68,,,,,,,,,,0.55,4.23,0.00,,4.23,,3.68
24-Jul-96,252,3.68,0,,,,,,,,,0.55,4.23,0.00,,4.23,"Delta develops on 29-Jul-96",3.68
29-Jul-96,257,3.68,2.24,,,,,,,,,0.89,6.81,2.58,,6.81,"delta volume taken as scar volume from 31st collapse - data from Yorrick  0.46 added to fan",5.92
9-Aug-96,268,5.03,3.44,,,,,,,,,1.27,9.74,2.93,,9.74," 1.1 added to fan",8.47
12-Aug-96,271,5.03,3.44,,,,,,,,,1.27,9.74,0.00,,9.74,,8.47
16-Aug-96,275,5.03,3.44,,,,,,,,,1.27,9.74,0.00,,9.74,,8.47
17-Aug-96,276,5.03,3.44,,,,,,,,,1.27,9.74,0.00,,9.74,,8.47
22-Aug-96,281,5.03,3.44,,,,,,,,,1.27,9.74,0.00,,9.74,,8.47
25-Aug-96,284,5.1,4.8,,,,,,,,,1.49,11.39,1.64,,11.39,,9.90
3-Sep-96,293,5.1,4.8,,,,,,,,,1.49,11.39,0.00,,11.39,,9.90
4-Sep-96,294,5.1,4.8,,,,,,,,,1.49,11.39,0.00,,11.39,,9.90
6-Sep-96,296,5.1,4.8,,,,,,,,,1.49,11.39,0.00,,11.39,,9.90
15-Sep-96,305,5,9,9.52,,,,,,,,3.53,27.05,15.66,,27.05,"Scar vol = pf vol",23.52
18-Sep-96,308,5,9,9.52,,,,,,,,3.53,27.05,0.00,,27.05,"Data yet to include Tar River surveys ",23.52
24-Sep-96,314,5,9,9.52,,,,,,,,3.53,27.05,0.00,,27.05,,23.52
28-Sep-96,318,5,9,9.52,,,,,,,,3.53,27.05,0.00,,27.05,,23.52
