,"Eruption","Dome","Tar River","White River","Nothern","Fort Ghaut","Cumulative","Cumulative","Extrusion"
"Date","Day","Volume","Deposits","Deposits","Deposits","Deposits","Ash Vol.","Extruded Vol.","Rate"
,,"x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3","x 106 m3","m3day-1"
35018,-6,"x 106 m3",,,,,,"x 106 m3","m3day-1"
35024,0,0.00,,,,,,0.00,0
35028,4,0.09,,,,,,0.08,12659
35033,9,0.13,,,,,,0.11,8439
35048,24,0.30,,,,,,0.25,28693
35064,40,0.64,,,,,,0.54,19128
35085,61,0.79,,,,,,0.67,7912
35100,76,1.99,,,,,,1.68,48223
35134,110,4.74,0,,,,0.00,4.00,154715
35173,149,6.35,0,,,,0.00,5.36,39961
35185,161,12.40,0.91,,,,0.14,11.51,157746
35190,166,13.80,1.34,,,,0.20,13.19,139663
35196,172,,1.48,,,,0.22,,
35197,173,,1.7,,,,0.26,,
35212,188,0.00,1.98,,,,0.30,0.00,0
35215,191,,2.55,,,,0.38,,
35216,192,,2.73,,,,0.41,,
35225,201,0.00,2.85,,,,0.43,0.00,0
35234,210,,3.02,,,,0.45,,
35240,216,,,,,,0.55,,
35246,222,0.00,,,,,0.55,0.00,0
35253,229,23.25,,,,,0.55,23.85,229034
35263,239,24.48,,,,,0.55,24.89,148285
35270,246,25.54,,,,,0.55,25.79,89453
35275,251,26.24,,,,,0.55,26.38,84390
35286,262,30.61,3.68,,,,0.55,29.17,559535
35289,265,29.35,5.92,,,,0.89,30.69,
35293,269,26.33,8.47,,,,1.27,31.07,0
35294,270,28.75,8.47,,,,1.27,33.11,
35299,275,,8.47,,,,1.27,,
35302,278,0.00,8.47,,,,1.27,0.00,0
35311,287,,,,,,,,
35312,288,0.00,9.9,,,,1.49,0.00,
35314,290,,9.9,,,,1.49,,
35323,299,0.00,9.9,,,,1.49,0.00,0
35326,302,32.26,9.9,,,,1.49,37.72,
35332,308,,,,,,,,
35336,312,,,,,,,,
35339,315,0.00,14,,,,2.91,0.00,0
35340,316,19.29,14,,,,2.91,40.72,0
