Day, Herd(DRE)vol, PF(DRE)vol, Combined(DRE)vol
1473.0,299.00,      ,299.00
1507.0,305.00,      ,305.00
1535.0,308.50,      ,308.50
1540.0,      ,0.3100, 308.81
1552.0,312.30,      ,312.61
1570.0,314.50,      ,314.81
1583.0,318.20,      ,318.51
1859.0,371.50,      ,378.62
1918.0,      ,0.3100, 378.93
1926.0,      ,0.9300, 379.86
1928.0,      ,0.3100, 380.17
1929.0,      ,0.6200, 380.79
1930.0,392.00,      ,401.29
2002.0,      ,0.3100, 401.60
2008.0,392.00,      ,401.60
2058.0,      ,0.3100, 401.91
2069.0,      ,0.1500, 402.06
2083.0,403.00,      ,413.06
2150.0,      ,0.9300, 414.30
2151.0,      ,0.3100, 414.61
2156.0,      ,0.3100, 414.92
2160.0,      ,0.3100, 414.92
2162.0,      ,0.3100, 415.23
2191.0,      ,0.3100, 415.54
2207.0,428.30,      ,440.84
2209.0,      ,3.1000,443.94
2235.0,      ,3.1000,447.04
2250.0,      ,0.6200, 447.66
2273.0,      ,0.3100, 447.97
2274.0,      ,0.1500, 448.12
2275.0,      ,0.3100, 448.43
2291.0,440.70,      ,460.83
2312.0,      ,1.5000,462.33
2327.0,      ,1.5000,463.83
2333.0,446.70,      ,469.83
2353.0,453.80,      ,476.93
2359.0,458.00,      ,481.13
2360.0,      ,1.5000,482.63
2440.0,458.70,      ,483.33
2442.0,      ,0.1500, 483.48
2445.0,      ,0.1500, 483.63
2479.0,461.60,      ,486.53
2502.0,467.40,      ,492.33
2510.0,      ,1.5000,493.83
2514.0,      ,0.6200, 494.45
2521.0,473.10,      ,500.15
2532.0,477.30,      ,504.35
2533.0,      ,2.1200,506.47
2551.0,481.40,      ,510.57
2552.0,      ,0.6200, 511.19
2557.0,      ,0.6200, 511.81
2578.0,485.00,      ,515.41
2580.0,      ,3.5000,518.91
2590.0,      ,1.5000,520.41
2593.0,486.40,      ,521.81 
2599.0,      ,1.2000,523.01
2610.0,488.60,      ,525.21
2613.0,      ,0.1500, 525.36
2616.0,490.20,      ,526.96
2623.0,      ,1.5000,528.46
2627.0,      ,1.5000,529.96
2633.0,      ,0.7700, 530.73
2644.0,494.10,      ,534.63
2650.0,496.10,      ,536.63
2667.0,499.40,      ,539.93
2681.0,502.40,      ,542.93
2693.0,504.60,      ,545.13
2715.0,505.80,      ,546.33
2725.0,      ,0.9300, 547.26
2796.0,511.90,      ,553.40
