Date,Average T (°C)
7/31/2013,487
8/15/2013,498.5
8/29/2013,483
9/5/2013,480
9/12/2013,531
9/19/2013,401
10/3/2013,459.6666667
10/17/2013,410.75
11/22/2013,444.25
12/17/2013,381.3333333
1/14/2014,454.6666667
1/28/2014,412
2/25/2014,348.5
3/11/2014,590.5
3/12/2014,501.5
3/19/2014,383
3/25/2014,408.5
4/3/2014,450.25
4/24/2014,406
5/7/2014,449
10/28/2014,398
11/3/2014,325
11/17/2014,363
1/26/2015,260
2/25/2015,362
3/3/2015,376.75
3/23/2015,300.5
3/31/2015,312.5
4/8/2015,370
4/20/2015,358
5/13/2015,267.5
5/27/2015,365.75
6/4/2015,430
9/2/2015,382.3333333
9/23/2015,352.5
9/30/2015,351.6666667
10/28/2015,340
11/12/2015,354
12/9/2015,260
12/18/2015,323.5
1/20/2016,293
1/27/2016,332
2/3/2016,269.5
5/11/2016,331
5/25/2016,324
6/16/2016,264
6/23/2016,218
9/21/2016,368.6666667
10/26/2016,393
11/18/2016,293
11/29/2016,328.75
12/29/2016,209
1/13/2017,304.25
2/10/2017,231
2/14/2017,350.25
3/21/2017,283
4/6/2017,334.5
4/20/2017,299.3333333
5/31/2017,397
7/26/2017,286.5
8/4/2017,255
12/13/2017,290
2/26/2018,260.25
3/27/2018,356.3333333
6/21/2018,272.5
6/27/2018,326
10/3/2018,356.25
10/26/2018,354.75
12/21/2018,314
1/10/2019,307.5
1/25/2019,321.5
12/12/2019,210
1/23/2020,345.25
9/3/2020,346.3333333
1/29/2021,375.45
2/2/2021,301.125
3/30/2022,412.075
4/13/2022,417.25
4/20/2022,430.85
6/21/2022,387.125
8/31/2022,376.825
9/7/2022,353.5666667
11/16/2022,359.8
12/7/2022,438.2666667
1/4/2023,404.6333333
1/18/2023,379.5
2/22/2023,335.2
3/8/2023,394.55
3/15/2023,342.05
4/26/2023,354.725
2/22/2024,401.3
3/27/2024,384.475
4/24/2024,336.875
6/6/2024,376.3
6/12/2024,369.125
6/19/2024,335.95
9/11/2024,273.95
9/19/2024,357.375
10/2/2024,321.45
10/30/2024,312
