Date,Chance's Steps
19-Sep-13,2.9
26-Sep-13,3.1
03-Oct-13,3.1
10-Oct-13,3.5
28-Oct-13,3
07-Nov-13,3.5
14-Nov-13,3.4
22-Nov-13,3.1
06-Dec-13,2.9
11-Dec-13,3.4
03-Jan-14,3
08-Jan-14,3.3
22-Jan-14,2.8
28-Jan-14,2.9
05-Feb-14,3.4
12-Feb-14,3.4
19-Feb-14,3.3
05-Mar-14,3.2
03-Apr-14,2
08-Apr-14,3.4
17-Apr-14,3.4
24-Apr-14,3.4
23-May-14,3.1
28-May-14,3.7
26-Jun-14,2.9
03-Jul-14,3.6
11-Jul-14,3.2
13-Aug-14,3.4
20-Aug-14,3.1
29-Aug-14,2.9
03-Sep-14,2.8
11-Sep-14,2.7
18-Sep-14,3.3
26-Sep-14,3
15-Oct-14,3.3
28-Oct-14,3.3
03-Nov-14,3.7
11-Nov-14,3.8
17-Nov-14,3.4
24-Nov-14,3.9
01-Dec-14,2.8
12-Dec-14,2.8
22-Dec-14,3
02-Jan-15,2.8
06-Jan-15,3.3
16-Jan-15,3.4
23-Jan-15,2.7
03-Feb-15,3.4
16-Feb-15,2.8
25-Feb-15,3.2
03-Mar-15,3.3
09-Mar-15,3.4
08-Apr-15,3.3
13-Apr-15,2.7
20-Apr-15,3.1
27-May-15,3.4
04-Jun-15,3.1
17-Jun-15,2.7
26-Aug-15,3.4
11-Nov-15,3.4
09-Dec-15,3.3
10-Feb-16,3.4
18-May-16,3.4
06-Jul-16,3.5
26-Aug-16,4.1
21-Sep-16,3.2
30-Sep-16,3.2
23-Nov-16,3.4
06-Jan-17,3.3
13-Jan-17,3.1
03-Feb-17,3.2
10-Feb-17,3.1
10-Mar-17,3.1
15-Mar-17,3
27-Apr-17,2.8
04-May-17,3.6
11-May-17,3.7
18-May-17,3.5
31-May-17,3.1
07-Jun-17,3.2
13-Jun-17,2.7
22-Jun-17,3.5
28-Jun-17,2.8
19-Jul-17,3.4
04-Aug-17,3.3
09-Aug-17,3.7
23-Aug-17,3.3
30-Aug-17,3.4
14-Sep-17,3.3
27-Sep-17,3.5
31-Oct-17,3.4
19-Dec-17,3.6
05-Feb-18,4.6
21-Feb-18,4.7
04-Apr-18,4.4
09-May-18,4
16-May-18,4.2
23-May-18,4.5
30-May-18,4
27-Jun-18,3.6
04-Jul-18,3.8
10-Jul-18,4.7
19-Jul-18,4.1
01-Aug-18,4.3
08-Aug-18,3.3
15-Aug-18,4.1
22-Aug-18,4
19-Sep-18,3.6
26-Sep-18,4.2
08-Oct-18,3.9
17-Oct-18,4.1
26-Oct-18,4.1
09-Nov-18,4.4
14-Nov-18,4.5
21-Nov-18,4
12-Dec-18,3.7
21-Dec-18,3.6
27-Dec-18,4.4
10-Jan-19,4.3
18-Jan-19,3.9
23-Jan-19,3.7
31-Jan-19,4.2
07-Feb-19,3.8
15-Feb-19,4.4
22-Feb-19,4
27-Feb-19,4.1
04-Mar-19,3.2
12-Mar-19,4.1
08-May-19,3.4
15-Nov-19,3.4
21-Nov-19,3.8
12-Dec-19,4.5
22-Jan-20,4
04-Mar-20,4.5
23-Jun-20,2.8
24-Jun-20,3
10-Aug-20,7.1
03-Sep-20,3.8
04-Sep-20,4.1
26-Oct-20,3.6
28-Oct-20,4.5
02-Dec-20,4.5
17-Dec-20,4.5
29-Jan-21,3.8
03-Mar-21,3.6
10-Mar-21,4.5
24-Mar-21,3
07-Apr-21,3
20-Apr-21,3
28-Apr-21,2.7
16-Jun-21,2.2
19-Aug-21,3.8
02-Sep-21,4.4
09-Sep-21,4
16-Sep-21,4.6
23-Sep-21,4
28-Sep-21,4.5
07-Oct-21,4.4
14-Oct-21,4.5
21-Oct-21,3.9
16-Nov-21,4.5
24-Nov-21,3.9
01-Dec-21,4.7
09-Dec-21,4.6
15-Dec-21,7.2
22-Dec-21,4.5
11-Jan-22,4
20-Jan-22,4.2
27-Jan-22,4.3
09-Feb-22,4.1
